yyyymm,dd-mmm-yy,Canada,Japan,UK,US,Europe
199503,31-Mar-95,117.4671195,144.4160619,120.2430412,114.2195246,140.4580406
199506,30-Jun-95,125.9035143,134.700541,123.711056,124.5885739,150.3347245
199509,29-Sep-95,128.0293266,139.0763242,131.232254,134.3008705,154.4516525
199512,29-Dec-95,131.8094942,146.0857883,134.1649181,140.5708207,158.6840452
199603,29-Mar-96,139.4710027,145.7823677,134.5044647,148.1731595,167.340407
199606,28-Jun-96,140.7166639,148.1506733,137.5880633,153.7847349,170.9180962
199609,30-Sep-96,148.3133844,138.7976273,145.3074789,158.7540234,173.3542388
199612,31-Dec-96,165.1405194,120.3590856,164.8084274,170.0207509,185.7794243
199703,31-Mar-97,161.6245088,104.7864635,164.3797318,171.0163663,198.0155543
199706,30-Jun-97,177.7128975,128.4878916,174.0455765,199.4791818,215.9109
199709,30-Sep-97,193.7978017,109.1563048,190.3202637,217.1823725,229.4378628
199712,31-Dec-97,177.7299576,85.44955309,192.5228015,219.4557926,228.309252
199803,31-Mar-98,200.3475384,88.58283423,225.6549869,246.7171288,275.211984
199806,30-Jun-98,188.7915811,83.83959113,222.4832864,251.4436176,294.4472268
199809,30-Sep-98,139.5124995,71.76288074,195.3415025,221.1066887,243.9552402
199812,31-Dec-98,159.8503135,90.43901957,218.415943,266.0158029,292.026836
199903,31-Mar-99,166.4434853,100.3794532,227.6910374,273.3047732,279.6560127
199906,30-Jun-99,180.9040082,108.4338077,224.3978695,293.2761227,280.8106228
199909,30-Sep-99,180.5913086,130.4537195,223.8519552,273.7314567,285.6517489
199912,31-Dec-99,212.8070314,150.1962801,248.8558848,316.8678937,338.3770263
200003,31-Mar-00,235.9109134,150.1809967,235.660721,332.3660172,343.8099317
200006,30-Jun-00,254.5364537,138.5946907,220.1160387,322.1468621,341.119725
200009,29-Sep-00,256.8030103,126.0269324,215.9045437,326.1391435,313.0286197
200012,29-Dec-00,221.2615287,105.4041507,216.1191838,298.1041845,316.4347644
200103,30-Mar-01,180.9946457,96.08473272,188.2369892,259.2450011,262.9667554
200106,29-Jun-01,190.2714558,98.31852524,187.8671869,277.52073,254.3674298
